Course,Prerequisite
 YWCC 691,"CS 610,CS 602"
 IT 640,
 IT 725,
 IT 635,IS 791
 IT 620,IS 791
 IT 610,IS 791
 IS 792,IS 791
 IS 791,IS 665
 IS 790F,IS 726
 IS 790E,IS 663
 IS 790D,IS 663
 IS 790C,IS 791
 IS 790B,IS 791
 IS 790A,IS 791
 IS 790,IS 663
 IS 786,IS 663
 IS 785,CS 791
 IS 776,CS 791
 IS 766,CS 791
 IS 765,MATH 661
 IS 764,CS 644
 IS 735,"MATH 661,IS 665"
 IS 727,
 IS 726,IS 725
 IS 725,CS 643
 IS 701C,IS 701B
 IS 701B,IS 701B
 IS 701,CS 634
 IS 700C,CS 631
 IS 700B,IS 700B
 IS 700,CS 634
 IS 698,CS 725
 IS 690,IS 601
 IS 688,IS 665
 IS 687,IS 665
 IS 686,CS 725
 IS 685,"CS 673,IS 663"
 IS 684,"CS 673,IS 663"
 IS 683,CS 645
 IS 682,CS 608
 IS 681,ECE 683
 IS 680,ECE 637
 IS 678,"CS 673,IS 663"
 IS 677,CS 656
 IS 676,CS 673
 IS 665,IS 601
 IS 664,CS 652
 IS 663,IS 601
 IS 661,CS 690
 IS 657,IS 665
 IS 654,IS 665
 IS 650,CS 673
 IS 634,IS 601
 IS 631,IS 601
 IS 616,CS 610
 IS 614,CS 661
 IS 613,CS 656
 IS 612,CS 696
 IS 601,CS 646
 IS 593,CS 645
 IS 592,CS 656
 IS 591,CS 633
 IS 590,CS 332
 IS 565,CS 114
 IS 531,BNFO 726
 IS 513,
 CS 792C,
 CS 792,CS 791
 CS 791,CS 790
 CS 790G,
 CS 790E,
 CS 790D,
 CS 790C,CS 790A
 CS 790B,CS 790A
 CS 790A,CS 790A
 CS 790,
 CS 786,CS 785
 CS 785,
 CS 782,CS 610
 CS 777,
 CS 775,CS 673
 CS 759,CS 659
 CS 756,
 CS 755,
 CS 750,CS 650
 CS 744,CS 610
 CS 735,"CS 675,CS 634,CS 643, CS 644,CS 675"
 CS 732,"CS 670,CS 634"
 CS 731,CS 631
 CS 726,CS 726
 CS 725,CS 726
 CS 708,"CS 608, CS 645, CS 696"
 CS 704,
 CS 701C,CS 701B
 CS 701B,CS 701B
 CS 701,
 CS 700B,CS 700B
 CS 700,
 CS 698,
 CS 696,"CS 652 ,CS 656 ,ECE 637,ECE 683"
 CS 690,CS 673
 CS 685,
 CS 684,
 CS 683,
 CS 681,
 CS 680,
 CS 678,
 CS 677,CS 675
 CS 676,CS 631
 CS 675,
 CS 673,CS 631
 CS 670,CS 610
 CS 668,CS 650
 CS 667,CS 610
 CS 666,MATH 666
 CS 665,CS 610
 CS 661,
 CS 660,
 CS 659,CS 505
 CS 657,CS 505
 CS 656,
 CS 652,MATH 333
 CS 651,MATH 333
 CS 650,"CS 251,CS 510"
 CS 648,"IT 640,CS 656"
 CS 647,"CS 645 ,CS 646,CS 696 ,ECE 638"
 CS 646,"ECE 637 ,CS 656"
 CS 645,
 CS 644,
 CS 643,"CS 656, CS 633"
 CS 640,
 CS 639,
 CS 636,"MATH 333,CS 280"
 CS 635,"CS 505,CS 510"
 CS 634,
 CS 633,
 CS 632,CS 631
 CS 631,
 CS 630,"CS 505,CS 332,CS 432"
 CS 621,MATH 551
 CS 611,CS 610
 CS 610,"CS 241,CS 114"
 CS 608,
 CS 602,
 CS 593,
 CS 592,
 CS 591,
 CS 590,
 CS 506,CS 505
 CS 505,
 BNFO 726,BNFO 725
 BNFO 725,
 BNFO 701C,BNFO 701B
 BNFO 701B,BNFO 701B
 BNFO 700B,BNFO 700B
 BNFO 698,
 BNFO 644,
 BNFO 620,
 BNFO 615,
 BNFO 602,
 BNFO 601,
,
,
,
,
