DepartmentCode,DepartmentNumber,Title,Description,course_number,UnitsMin,UnitsMax
CS,224N,Natural Language Processing,"Methods for processing human language information and the underlying computational properties of natural languages. Syntactic and semantic processing from linguistic and algorithmic perspectives. Focus is on modern quantitative techniques in NLP: using large corpora, statistical models for acquisition, translation, and interpretation; and representative systems. Prerequisites: CS 121/221 or CS124/LINGUIST 180, CS103, CS109.",CS 224N,3,4
CS,221,Artificial Intelligence: Principles and Techniques,"(Only one of 121 or 221 counts towards any CS degree program.) Topics: search, planning, constraint satisfaction, knowledge representation, probabilistic models, machine learning, neural networks, vision, robotics, and natural language understanding. Prerequisites: 103B or X, or PHIL 160A, 106B, or 106X, and exposure to probability. Recommended: 107 and facility with basic differential calculus. (Koller, Ng)",CS 221,3,0
CS,246,Information Integration,"Accessing the recent increase in structured data available on the Internet in an integrated way is complicated by conceptual heterogeneity among the data sources, i.e., differences in their structure and vocabulary. Approaches to solving this problem. Topics: notations and models for structured data such as XML and RDF, information integration techniques, standard schemas and vocabularies, data structuring technology, and applications such as in corporate logistics, e-commerce, civil engineering, and health care. Large-scale datawebs and prospects for building a fully integrated semantic web, essentially a world wide web for databases. Prerequisites: 145, 157.Spr (Genesereth)",CS 246,3,4
CME,212,Introduction to Large-Scale Computing in Engineering,"Advanced programming methodologies for solving fundamental engineering problems using algorithms with pervasive application across disciplines. Overview of computer systems from a programming perspective including processor architectures, memory hierarchies, machine arithmetic, performance tuning techniques. Algorithms include iterative, direct linear solvers, fft, and divide and conquer strategies for n-body problems. Software development; other practical UNIX tools including shell scripting (bash), vi/emacs, gcc, make, gdb, gprof, rcs, and latex. Prerequisites: 200 (formerly ME 300A), and CS 106X or equivalent level of programming in C/C++. (Fringer)",CME 212,3,0
CME,302,Numerical Linear Algebra,"First in a three quarter graduate sequence. Solution of systems of linear equations: direct methods, error analysis, structured matrices; iterative methods and least squares. Parallel techniques. Prerequisites: CME108, MATH 103 or 113. (Golub)",CME 302,3,0
CME,308,Stochastic Methods in Engineering,"Review of basic probability; state space models and time series; parameter estimations, prediction, and filtering; Markov chains and processes; stochastic control; and stochastic differential equations. Examples from various engineering disciplines. Prerequisites: exposure to probability; background in real variables and analysis. (Glynn)",CME 308,3,0
STATS,200,Introduction to Statistical Inference,"Modern statistical concepts and procedures derived from a mathematical framework. Statistical inference, decision theory; point and interval estimation, tests of hypotheses; Neyman-Pearson theory. Bayesian analysis; maximum likelihood, large sample theory. Prerequisite: 116.Win (Romano)",STATS 200,3,0
STATS,299,Literature of Statistics,,STATS 299,3,0
STATS,203,Introduction to Regression Models and Analysis of Variance,Modeling and interpretation of observational and experimental data using linear and nonlinear regression methods. Model building and selection methods. Multivariable analysis. Fixed and random effects models. Experimental design. Pre- or corequisite: 200 (Switzer),STATS 203,3,0
STATS,315A,Modern Applied Statistics: Learning,"Two-part sequence on new techniques for predictive and descriptive learning using ideas that bridge gaps among statistics, computer science, and artificial intelligence. Emphasis is on statistical aspects of their application and integration with more standard statistical methodology. Predictive learning refers to estimating models from data with the goal of predicting future outcomes, in particular, regression and classification models. Descriptive learning is used to discover general patterns and relationships in data without a specific predictive goal. From a statistical perspective, it can be viewed as computer automated exploratory analysis of usually large complex data sets. (Hastie)",STATS 315A,3,0
